curr_state	curr_action	next_reward	next_state	old_value	new_value
24	3	0	36	0.0	0.0
36	0	0	39	0.0	0.0
39	0	0	42	0.0	0.0
42	1	0	48	0.0	0.0
48	3	0	60	0.0	0.0
60	2	0	69	0.0	0.0
69	3	0	81	0.0	0.0
81	0	0	84	0.0	0.0
84	1	0	90	0.0	0.0
90	3	0	102	0.0	0.0
102	0	0	105	0.0	0.0
105	3	0	117	0.0	0.0
117	2	0	126	0.0	0.0
126	2	0	7	0.0	0.0
7	2	0	16	0.0	0.0
16	2	0	25	0.0	0.0
25	0	0	28	0.0	0.0
28	1	0	34	0.0	0.0
34	1	0	40	0.0	0.0
40	1	0	46	0.0	0.0
46	2	0	55	0.0	0.0
55	3	0	67	0.0	0.0
67	2	0	76	0.0	0.0
76	3	0	88	0.0	5.023917132300001e-05
88	2	0	97	0.000507466377	0.0009650593854000001
97	3	0	109	0.0051347439000000005	0.00974719251
109	1	0	115	0.051777000000000004	0.0806454
115	3	1	127	0.34390000000000004	0.40951000000000004
127	1	0	5	0.0	0.0
5	0	0	8	0.0	0.0
8	3	0	20	0.0	0.0
20	3	0	32	0.0	0.0
32	2	0	41	0.0	0.0
41	2	0	50	0.0	0.0
50	3	0	62	0.0	0.0
62	0	0	65	0.0	0.0
65	1	0	71	0.0	0.0
71	3	0	83	0.0	0.0
83	1	0	89	0.0	0.0
89	0	0	92	0.0	0.0
92	2	0	101	0.0	0.0
101	0	0	104	0.0	0.0
104	2	0	113	0.0	0.0
113	3	0	125	0.0	0.0
125	3	0	9	0.0	0.0
9	1	0	15	0.0	0.0
15	1	0	21	0.0	0.0
21	3	0	33	0.0	0.0
33	3	0	45	0.0	0.0
45	1	0	51	0.0	0.0
51	3	0	63	0.0	0.0
63	1	0	69	0.0	0.0
69	3	0	81	0.0	0.0
81	0	0	84	0.0	0.0
84	3	0	96	0.0	0.0
96	0	0	99	0.0	0.0
99	2	0	108	0.0	0.0
108	2	0	117	0.0	0.0
117	0	0	120	0.0	0.0
120	2	0	1	0.0	0.0
1	0	0	4	0.0	0.0
4	3	0	16	0.0	0.0
16	2	0	25	0.0	0.0
25	3	0	37	0.0	0.0
37	2	0	46	0.0	0.0
46	3	0	58	0.0	0.0
58	3	0	70	0.0	0.0
70	1	0	76	0.0	4.973677960977002e-06
76	3	0	88	5.023917132300001e-05	0.00014075613334530002
88	2	0	97	0.0009650593854000001	0.00183352550535
97	3	0	109	0.00974719251	0.016756367859
109	0	0	112	0.0	0.0
112	2	0	121	0.0	0.0
121	2	0	2	0.0	0.0
2	3	0	14	0.0	0.0
14	1	0	20	0.0	0.0
20	3	0	32	0.0	0.0
32	2	0	41	0.0	0.0
41	0	0	44	0.0	0.0
44	1	0	50	0.0	0.0
50	2	0	59	0.0	0.0
59	1	0	65	0.0	0.0
65	2	0	74	0.0	0.0
74	3	0	86	0.0	0.0
86	1	0	92	0.0	0.0
92	3	0	104	0.0	0.0
104	3	0	116	0.0	0.0
116	2	0	125	0.0	0.0
125	2	0	6	0.0	0.0
6	0	0	9	0.0	0.0
9	2	0	18	0.0	0.0
18	1	0	24	0.0	0.0
24	1	0	30	0.0	0.0
30	3	0	42	0.0	0.0
42	1	0	48	0.0	0.0
48	2	0	57	0.0	0.0
57	0	0	60	0.0	0.0
60	3	0	72	0.0	0.0
72	2	0	81	0.0	0.0
81	1	0	87	0.0	0.0
87	2	0	96	0.0	0.0
96	0	0	99	0.0	0.0
99	2	0	108	0.0	0.0
108	3	0	120	0.0	0.0
120	0	0	123	0.0	0.0
123	1	0	1	0.0	0.0
1	3	0	13	0.0	0.0
13	2	0	22	0.0	0.0
22	2	0	31	0.0	0.0
31	0	0	34	0.0	0.0
34	3	0	46	0.0	0.0
46	1	0	52	0.0	0.0
52	2	0	61	0.0	0.0
61	1	0	67	0.0	0.0
67	2	0	76	0.0	1.3934857201184701e-05
76	1	0	82	0.0	2.6627721397200004e-06
82	1	0	88	2.6896688280000005e-05	0.00020572604448165001
88	2	0	97	0.00183352550535	0.003309053372856
97	3	0	109	0.016756367859	0.0230646256731
109	1	0	115	0.0806454	0.11312235000000001
115	2	0	124	0.0	0.0
124	2	0	5	0.0	0.0
5	1	0	11	0.0	0.0
11	3	0	23	0.0	0.0
23	2	0	32	0.0	0.0
32	2	0	41	0.0	0.0
41	3	0	53	0.0	0.0
53	1	0	59	0.0	0.0
59	2	0	68	0.0	0.0
68	2	0	77	0.0	0.0
77	3	0	89	0.0	0.0
89	1	0	95	0.0	0.0
95	2	0	104	0.0	0.0
104	0	0	107	0.0	0.0
107	0	0	110	0.0	0.0
110	1	0	116	0.0	0.0
116	1	0	122	0.0	0.0
122	0	0	125	0.0	0.0
125	0	0	0	0.0	0.0
0	0	0	3	0.0	0.0
3	2	0	12	0.0	0.0
12	0	0	15	0.0	0.0
15	0	0	18	0.0	0.0
18	2	0	27	0.0	0.0
27	1	0	33	0.0	0.0
33	1	0	39	0.0	0.0
39	2	0	48	0.0	0.0
48	1	0	54	0.0	0.0
54	0	0	57	0.0	0.0
57	3	0	69	0.0	0.0
69	1	0	75	0.0	0.0
75	2	0	84	0.0	0.0
84	0	0	87	0.0	0.0
87	2	0	96	0.0	0.0
96	0	0	99	0.0	0.0
99	2	0	108	0.0	0.0
108	0	0	111	0.0	0.0
111	3	0	123	0.0	0.0
123	3	0	7	0.0	0.0
7	2	0	16	0.0	0.0
16	0	0	19	0.0	0.0
19	0	0	22	0.0	0.0
22	1	0	28	0.0	0.0
28	1	0	34	0.0	0.0
34	3	0	46	0.0	0.0
46	0	0	49	0.0	0.0
49	1	0	55	0.0	0.0
55	0	0	58	0.0	0.0
58	0	0	61	0.0	0.0
61	2	0	70	0.0	4.923941181367232e-07
70	1	0	76	4.973677960977002e-06	1.8411167366064e-05
76	3	0	88	0.00014075613334530002	0.000454276803923514
88	2	0	97	0.003309053372856	0.005261545977207301
97	3	0	109	0.0230646256731	0.03195727575579
109	1	0	115	0.11312235000000001	0.14235160500000002
115	3	1	127	0.40951000000000004	0.46855900000000006
127	0	0	2	0.0	0.0
2	1	0	8	0.0	0.0
8	0	0	11	0.0	0.0
11	2	0	20	0.0	0.0
20	2	0	29	0.0	0.0
29	3	0	41	0.0	0.0
41	2	0	50	0.0	0.0
50	0	0	53	0.0	0.0
53	0	0	56	0.0	0.0
56	1	0	62	0.0	0.0
62	3	0	74	0.0	0.0
74	0	0	77	0.0	0.0
77	2	0	86	0.0	0.0
86	2	0	95	0.0	0.0
95	2	0	104	0.0	0.0
104	2	0	113	0.0	0.0
113	0	0	116	0.0	0.0
116	3	0	0	0.0	0.0
0	0	0	3	0.0	0.0
3	0	0	6	0.0	0.0
6	2	0	15	0.0	0.0
15	2	0	24	0.0	0.0
24	1	0	30	0.0	0.0
30	1	0	36	0.0	0.0
36	3	0	48	0.0	0.0
48	3	0	60	0.0	0.0
60	0	0	63	0.0	0.0
63	3	0	75	0.0	0.0
75	2	0	84	0.0	0.0
84	0	0	87	0.0	0.0
87	1	0	93	0.0	0.0
93	3	0	105	0.0	0.0
105	2	0	114	0.0	0.0
114	3	0	126	0.0	0.0
126	3	0	10	0.0	0.0
10	1	0	16	0.0	0.0
16	2	0	25	0.0	0.0
25	2	0	34	0.0	0.0
34	1	0	40	0.0	0.0
40	1	0	46	0.0	0.0
46	0	0	49	0.0	0.0
49	2	0	58	0.0	0.0
58	0	0	61	0.0	4.87470176955356e-08
61	2	0	70	4.923941181367232e-07	2.265860275563387e-06
70	1	0	76	1.8411167366064e-05	6.154345421788549e-05
76	3	0	88	0.000454276803923514	0.0009297421752746855
88	2	0	97	0.005261545977207301	0.00789916167930978
97	1	0	103	0.0	0.0
103	3	0	115	0.0	0.046387341000000006
115	3	1	127	0.46855900000000006	0.5217031000000001
127	1	0	5	0.0	0.0
5	2	0	14	0.0	0.0
14	1	0	20	0.0	0.0
20	3	0	32	0.0	0.0
32	1	0	38	0.0	0.0
38	3	0	50	0.0	0.0
50	2	0	59	0.0	0.0
59	2	0	68	0.0	0.0
68	0	0	71	0.0	0.0
71	2	0	80	0.0	0.0
80	1	0	86	0.0	0.0
86	3	0	98	0.0	0.0
98	1	0	104	0.0	0.0
104	0	0	107	0.0	0.0
107	0	0	110	0.0	0.0
110	2	0	119	0.0	0.0
119	3	0	3	0.0	0.0
3	1	0	9	0.0	0.0
9	0	0	12	0.0	0.0
12	3	0	24	0.0	0.0
24	1	0	30	0.0	0.0
30	2	0	39	0.0	0.0
39	0	0	42	0.0	0.0
42	3	0	54	0.0	0.0
54	0	0	57	0.0	0.0
57	3	0	69	0.0	0.0
69	2	0	78	0.0	0.0
78	2	0	87	0.0	0.0
87	1	0	93	0.0	0.0
93	0	0	96	0.0	0.0
96	3	0	108	0.0	0.0
108	2	0	117	0.0	0.0
117	0	0	120	0.0	0.0
120	3	0	4	0.0	0.0
4	2	0	13	0.0	0.0
13	0	0	16	0.0	0.0
16	2	0	25	0.0	0.0
25	0	0	28	0.0	0.0
28	2	0	37	0.0	0.0
37	0	0	40	0.0	0.0
40	0	0	43	0.0	0.0
43	3	0	55	0.0	0.0
55	3	0	67	0.0	1.3795508629172854e-06
67	3	0	79	0.0	0.0
79	2	0	88	0.0	0.0007820170062516683
88	2	0	97	0.00789916167930978	0.010273015811202012
97	3	0	109	0.03195727575579	0.04285435707521101
109	1	0	115	0.14235160500000002	0.17976505140000004
115	3	1	127	0.5217031000000001	0.5695327900000001
127	0	0	2	0.0	0.0
2	0	0	5	0.0	0.0
5	2	0	14	0.0	0.0
14	1	0	20	0.0	0.0
20	3	0	32	0.0	0.0
32	2	0	41	0.0	0.0
41	1	0	47	0.0	0.0
47	2	0	56	0.0	0.0
56	3	0	68	0.0	0.0
68	2	0	77	0.0	0.0
77	3	0	89	0.0	0.0
89	1	0	95	0.0	0.0
95	0	0	98	0.0	0.0
98	1	0	104	0.0	0.0
104	2	0	113	0.0	0.0
113	1	0	119	0.0	0.0
119	0	0	122	0.0	0.0
122	2	0	3	0.0	0.0
3	1	0	9	0.0	0.0
9	0	0	12	0.0	0.0
12	2	0	21	0.0	0.0
21	2	0	30	0.0	0.0
30	2	0	39	0.0	0.0
39	0	0	42	0.0	0.0
42	0	0	45	0.0	0.0
45	1	0	51	0.0	0.0
51	1	0	57	0.0	0.0
57	2	0	66	0.0	0.0
66	0	0	69	0.0	0.0
69	0	0	72	0.0	0.0
72	3	0	84	0.0	0.0
84	0	0	87	0.0	0.0
87	3	0	99	0.0	0.0
99	3	0	111	0.0	0.0
111	2	0	120	0.0	0.0
120	1	0	126	0.0	0.0
126	3	0	10	0.0	0.0
10	0	0	13	0.0	0.0
13	1	0	19	0.0	0.0
19	2	0	28	0.0	0.0
28	1	0	34	0.0	0.0
34	3	0	46	0.0	0.0
46	1	0	52	0.0	0.0
52	2	0	61	0.0	2.2432016728077529e-07
61	2	0	70	2.265860275563387e-06	8.132076215577712e-06
70	1	0	76	6.154345421788549e-05	0.0001474335841482908
76	3	0	88	0.0009297421752746855	0.001853796523056216
88	2	0	97	0.010273015811202012	0.0134882955805277
97	3	0	109	0.04285435707521101	0.05636566145628991
109	1	0	115	0.17976505140000004	0.21817229247000006
115	3	1	127	0.5695327900000001	0.6125795110000001
127	0	0	2	0.0	0.0
2	1	0	8	0.0	0.0
8	2	0	17	0.0	0.0
17	3	0	29	0.0	0.0
29	0	0	32	0.0	0.0
32	1	0	38	0.0	0.0
38	1	0	44	0.0	0.0
44	0	0	47	0.0	0.0
47	0	0	50	0.0	0.0
50	0	0	53	0.0	0.0
53	1	0	59	0.0	0.0
59	1	0	65	0.0	0.0
65	0	0	68	0.0	0.0
68	0	0	71	0.0	0.0
71	1	0	77	0.0	0.0
77	3	0	89	0.0	0.0
89	1	0	95	0.0	0.0
95	3	0	107	0.0	0.0
107	1	0	113	0.0	0.0
113	2	0	122	0.0	0.0
122	3	0	6	0.0	0.0
6	3	0	18	0.0	0.0
18	2	0	27	0.0	0.0
27	3	0	39	0.0	0.0
39	1	0	45	0.0	0.0
45	2	0	54	0.0	0.0
54	0	0	57	0.0	0.0
57	1	0	63	0.0	0.0
63	3	0	75	0.0	0.0
75	0	0	78	0.0	0.0
78	0	0	81	0.0	0.0
81	0	0	84	0.0	0.0
84	3	0	96	0.0	0.0
96	0	0	99	0.0	0.0
99	2	0	108	0.0	0.0
108	1	0	114	0.0	0.0
114	3	0	126	0.0	0.0
126	1	0	4	0.0	0.0
4	0	0	7	0.0	0.0
7	1	0	13	0.0	0.0
13	2	0	22	0.0	0.0
22	1	0	28	0.0	0.0
28	1	0	34	0.0	0.0
34	3	0	46	0.0	0.0
46	1	0	52	0.0	2.2207696560796753e-08
52	2	0	61	2.2432016728077529e-07	1.0069636958948913e-06
61	2	0	70	8.132076215577712e-06	2.191479342470073e-05
70	2	0	79	0.0	7.741968361891518e-05
79	2	0	88	0.0007820170062516683	0.0020391565680987437
88	2	0	97	0.0134882955805277	0.017719666506647632
97	3	0	109	0.05636566145628991	0.07232815226519093
109	3	0	121	0.0	0.0
121	3	0	5	0.0	0.0
5	0	0	8	0.0	0.0
8	3	0	20	0.0	0.0
20	1	0	26	0.0	0.0
26	3	0	38	0.0	0.0
38	0	0	41	0.0	0.0
41	2	0	50	0.0	0.0
50	2	0	59	0.0	0.0
59	0	0	62	0.0	0.0
62	3	0	74	0.0	0.0
74	0	0	77	0.0	0.0
77	1	0	83	0.0	0.0
83	3	0	95	0.0	0.0
95	0	0	98	0.0	0.0
